evaluated,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,run_id,scope,skipped
131,0.0916030534351145,12,4.929663571963915,0.8521561847860234,0.7144995001829675,55,first_order,1
54,0.05555555555555555,3,3.6769103605760836,0.9843775395143463,0.9005368390875012,55,second_order,0
186,0.0913978494623656,17,6.107143258536974,0.8297743903044825,0.5525804314018955,56,all,0
132,0.10606060606060606,14,7.402504941276007,0.923652718473822,0.6807008461912061,56,first_order,0
54,0.018518518518518517,1,3.31680671442054,0.7816152340590214,0.7000766824879882,56,second_order,0
186,0.08064516129032258,15,6.691101557193222,0.9108229576014737,0.7071231533716583,57,all,0
132,0.06818181818181818,9,7.402504941276007,0.8223183911192473,0.6231158340896723,57,first_order,0
53,0.09433962264150944,5,5.379663780555674,1.0018326169913525,0.7361827595782283,57,second_order,1
185,0.07027027027027027,13,7.402504941276007,0.8911418755879634,0.6333560007461502,58,all,1
132,0.08333333333333333,11,5.263562138717859,0.8682782871172386,0.6380060602227469,58,first_order,0
54,0.05555555555555555,3,3.8037556900222493,0.8274105674939554,0.699218116358173,58,second_order,0
186,0.07526881720430108,14,6.691101557193222,0.9018918334073072,0.7300036424921319,59,all,0
131,0.12213740458015267,16,7.402504941276007,0.938342273647155,0.6182894606018712,59,first_order,1
54,0.16666666666666666,9,6.107143258536974,1.0209696091577878,0.6320899767732265,59,second_order,0
185,0.0918918918918919,17,5.379663780555674,0.9163283858580125,0.6646406547296743,60,all,1
132,0.12121212121212122,16,4.751979074252413,0.9406145927732142,0.6728801599093064,60,first_order,0
53,0.07547169811320754,4,2.731211715402172,0.8476329431117318,0.6945225796211416,60,second_order,1
186,0.08064516129032258,15,6.107143258536974,0.8355064959656688,0.6129851552040035,61,all,0
131,0.06870229007633588,9,4.824738588056284,0.8561689504789392,0.6277787234527006,61,first_order,1
54,0.018518518518518517,1,2.2556942761898653,0.7561581854690892,0.6103195382846065,61,second_order,0
186,0.08064516129032258,15,4.840509145429005,0.8683713108499161,0.6275078012719666,62,all,0
132,0.12121212121212122,16,4.318129007165164,0.9063942430129888,0.6992309290198495,62,first_order,0
54,0.07407407407407407,4,2.597125685326188,0.7973921376871032,0.6159953708258166,62,second_order,0
184,0.08695652173913043,16,5.799280119074019,0.8446183810914089,0.5864596622543237,63,all,2
131,0.1297709923664122,17,5.293386789610306,0.964872448336357,0.744017617896637,63,first_order,1
54,0.16666666666666666,9,4.255759867545777,1.055856704888274,0.9430519403877322,63,second_order,0
186,0.13978494623655913,26,4.318129007165164,0.9330915485391356,0.6887107497843199,64,all,0
131,0.12213740458015267,16,6.107143258536974,0.9190075237202686,0.7568665735677531,64,first_order,1
54,0.1111111111111111,6,5.293386789610306,0.9366911499247708,0.7349525561523038,64,second_order,0
186,0.10752688172043011,20,5.799280119074019,0.8572298604867423,0.5972520170072635,65,all,0
132,0.14393939393939395,19,5.164087683548203,0.9815972071598698,0.6950757799280056,65,first_order,0
54,0.07407407407407407,4,5.263562138717859,0.9197496373406303,0.6666281763894666,65,second_order,0
185,0.10810810810810811,20,7.402504941276007,0.9832816470347372,0.737788801052602,66,all,1
132,0.10606060606060606,14,7.402504941276007,0.8727541221479178,0.6240256774674762,66,first_order,0
54,0.16666666666666666,9,5.185106371957386,1.0190268394394217,0.7198421808924924,66,second_order,0
186,0.11290322580645161,21,6.691101557193222,0.9348844022512142,0.6731136139380437,67,all,0
132,0.09090909090909091,12,5.263562138717859,0.8666236925340769,0.5954323724116488,67,first_order,0
54,0.05555555555555555,3,5.6157714726161645,0.8755497014280456,0.6806134451172448,67,second_order,0
186,0.13440860215053763,25,5.293386789610306,1.0066941135924883,0.7468991150175501,68,all,0
132,0.10606060606060606,14,7.402504941276007,0.9777550250856694,0.7380649224672398,68,first_order,0
